Name,Address,Latitude,Longitude,Phone,Neighborhood/Area,City,County,Site_Type,Tier,Source_URL
Atlanta Community Food Center,"3500 MLK Jr Dr SW, Atlanta, GA 30331",33.7441,-84.4988,(478) 394-4547,Adamsville,Atlanta,Fulton,Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Antioch Urban Ministries,"466 Northside Dr NW, Atlanta, GA 30318",33.7667,-84.4045,(404) 524-9775,English Avenue,Atlanta,Fulton,Church Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Emmaus House,"27 Haygood Ave SW, Atlanta, GA 30315",33.7275,-84.3894,(404) 523-2856,Peoplestown,Atlanta,Fulton,Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Intown Cares,"1026 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7728,-84.3541,(404) 590-6956,Virginia Highland,Atlanta,Fulton,Church Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Central Outreach & Advocacy Center,"201 Washington St SW, Atlanta, GA 30303",33.7508,-84.3892,(404) 659-0274,Downtown,Atlanta,Fulton,Church Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
SafeHouse Outreach,"89 Ellis St NE, Atlanta, GA 30303",33.7581,-84.3857,(404) 523-2221,Downtown,Atlanta,Fulton,Meals + Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Fountain of Hope,"829 Hollywood Rd NW, Atlanta, GA 30318",33.7812,-84.4578,(404) 963-6409,NW Atlanta,Atlanta,Fulton,Church Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Hosea Helps,"1035 Donnelly Ave SW, Atlanta, GA 30310",33.7373,-84.4246,(404) 755-3353,West End,Atlanta,Fulton,Church Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
Open Hand Atlanta,"181 Armour Dr NE, Atlanta, GA 30324",33.8093,-84.3824,(404) 872-6947,Lindbergh,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Atlanta Union Mission,"921 Howell Mill Rd NW, Atlanta, GA 30318",33.7806,-84.4102,(404) 588-4000,West Midtown,Atlanta,Fulton,Meals + Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Action Ministries,"458 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7735,-84.3720,(404) 881-1991,Midtown,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Salvation Army Metro Atlanta,"2090 N Druid Hills Rd NE, Atlanta, GA 30329",33.8335,-84.3371,(404) 486-2700,North Druid Hills,Atlanta,DeKalb,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
St Vincent de Paul Georgia,"2050 Chamblee Tucker Rd, Atlanta, GA 30341",33.8845,-84.2970,(678) 892-6163,Chamblee,Atlanta,DeKalb,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Toco Hills Community Alliance,"1790 Lavista Rd NE, Atlanta, GA 30329",33.8164,-84.3315,(404) 325-0677,Toco Hills,Atlanta,DeKalb,Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
P.O.W.E.R Atlanta,"1024 Avon Ave SW, Atlanta, GA 30310",33.7297,-84.4231,(404) 301-9989,Oakland City,Atlanta,Fulton,Pantry,High-confidence base layer,https://www.findhelp.org/food/food-pantry--atlanta-ga
First Iconium Baptist Church,"542 Moreland Ave SE, Atlanta, GA 30316",33.7438,-84.3489,(404) 622-0801,SE Atlanta,Atlanta,DeKalb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Wheat Street Baptist Church,"359 Auburn Ave NE, Atlanta, GA 30312",33.7555,-84.3756,(404) 659-4328,Sweet Auburn,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Cascade United Methodist Church,"3144 Cascade Rd SW, Atlanta, GA 30311",33.7270,-84.5000,(404) 691-5770,Cascade Heights,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Ben Hill United Methodist Church,"2099 Fairburn Rd SW, Atlanta, GA 30331",33.7052,-84.5150,(404) 344-0618,Ben Hill,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Feeding GA Families,"3113 Main St, East Point, GA 30344",33.6592,-84.4449,(678) 223-3663,East Point,East Point,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
City of Refuge,"1300 Joseph E Boone Blvd NW, Atlanta, GA 30314",33.7636,-84.4305,(404) 874-2241,Vine City,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Second Helpings Atlanta,"970 Jefferson St NW, Atlanta, GA 30318",33.7790,-84.4145,(678) 569-5517,West Midtown,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
West Hunter Street Baptist Church,"1040 Ralph David Abernathy Blvd SW, Atlanta, GA 30310",33.7370,-84.4125,(404) 688-7300,West End,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Mount Vernon Baptist Church,"1988 MLK Jr Dr NW, Atlanta, GA 30314",33.7515,-84.4470,(404) 752-0306,West Atlanta,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Greater Piney Grove Baptist Church,"1879 Glenwood Ave SE, Atlanta, GA 30316",33.7390,-84.3260,(404) 377-0560,East Atlanta,Atlanta,DeKalb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
St Luke Missionary Baptist Church,"1985 Joseph E Boone Blvd NW, Atlanta, GA 30314",33.7639,-84.4500,(404) 792-5800,NW Atlanta,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Tabernacle Baptist Church,"2800 Campbellton Rd SW, Atlanta, GA 30311",33.7050,-84.4680,(404) 349-2464,SW Atlanta,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Friendship Baptist Church,"437 Mitchell St SW, Atlanta, GA 30313",33.7480,-84.4000,(404) 688-5959,Downtown,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Buckhead Christian Ministry,"2847 Piedmont Rd NE, Atlanta, GA 30305",33.8280,-84.3690,(404) 239-0058,Buckhead,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Midtown Assistance Center,"30 Porter Pl NE, Atlanta, GA 30308",33.7800,-84.3830,(404) 607-7747,Midtown,Atlanta,Fulton,Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Cathedral of St. Philip Pantry,"2744 Peachtree Rd NW, Atlanta, GA 30305",33.8340,-84.3860,(404) 365-1000,Buckhead,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
St Patrick's Episcopal Church Pantry,"4755 N Peachtree Rd, Dunwoody, GA 30338",33.9240,-84.3150,(770) 394-2485,Dunwoody,Dunwoody,DeKalb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Holy Cross Catholic Church Pantry,"3773 Chamblee Tucker Rd, Atlanta, GA 30341",33.8850,-84.3000,(770) 939-3501,Chamblee,Chamblee,DeKalb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Our Lady of Lourdes Pantry,"25 Boulevard NE, Atlanta, GA 30312",33.7540,-84.3730,(404) 522-6776,Old Fourth Ward,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Shrine of the Immaculate Conception Pantry,"48 MLK Jr Dr SW, Atlanta, GA 30303",33.7495,-84.3905,(404) 521-1866,Downtown,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
St Paul AME Church Pantry,"1540 Pryor Rd SW, Atlanta, GA 30315",33.7160,-84.3900,(404) 761-3900,South Atlanta,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Zion Hill Baptist Church Pantry,"6175 Campbellton Rd SW, Atlanta, GA 30331",33.7000,-84.6000,(404) 691-1499,SW Atlanta,Atlanta,Fulton,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Greenforest Community Baptist Church Pantry,"3250 Rainbow Dr, Decatur, GA 30034",33.6900,-84.2600,(404) 486-1120,Decatur,Decatur,DeKalb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
Word of Faith Family Worship Cathedral Pantry,"212 Riverside Pkwy, Austell, GA 30168",33.7800,-84.5900,(770) 944-9400,Austell,Austell,Cobb,Church Pantry,Metro expansion,https://www.findhelp.org/food/food-pantry--atlanta-ga
